read_id,n_framework_deviations,has_length_variant_region
a0a2d0d4-4232-4e29-a3ed-b0059ebf4658,0,True
b4efa624-79b3-459c-9443-55818bff3745,1,False
97f7f4d5-fd91-43f1-a789-3f62d525e896,4,True
7bbc75d4-339f-4451-bafe-30b26867f30d,3,False
18a43c2a-c5ab-465d-8890-86236f517e1f,2,False
1a935f60-54ce-4dfb-a934-cc8996b6f9a6,0,True
b8516a8b-6e83-480c-90c4-8f246389e474,0,True
e3bffd84-e7ff-4618-8451-42760fa4483c,0,True
6a7ea915-2da0-4ff4-a051-83f7a26cedf2,0,True
6b433c36-d00a-4194-942b-7df58ce52de4,6,False
4d32196d-4c7a-454d-8b39-f96cdd9e2810,2,False
f197b897-b89f-40c6-81aa-df9a6bbdee40,0,True
930a8eb8-0f68-4b6b-8501-2fdca5758765,1,True
9249bc69-0c59-437b-8b78-74e9e6aefb02,1,False
706092ed-af1e-4d8a-8213-ad50361bcefa,1,True
d6fe2e53-cfb9-47ba-b0ee-be991f4f7002,0,False
0e8704a0-cc37-4716-af4d-c8454f783f78,0,True
35e24390-c620-48d9-b3e7-4637e4aa9ff6,1,True
8d4754a2-0e24-4181-84aa-41fd4b94a91e,1,True
543796e7-93e1-4dfb-883a-e6897aacfb48,1,False
64f96d5f-fc06-45c3-8193-b01903bc9651,0,True
1a41e671-bd41-4bb3-b39c-c2e49fdff1a2,1,True
24a2e678-9960-4cc2-886c-cfbfe1e949a7,1,True
2f02d551-c471-4f5a-b9ef-2b3efff18880,0,True
b7aeff07-ac77-4430-80cf-0d862b551974,1,True
4ae89205-d4ba-4599-bbe9-412bc2aaefa5,0,True
cea3cef3-dc3f-4771-9db7-4b9d1ccd32e8,0,True
7478cacf-ed60-4122-918f-d1d344fc912b,3,False
4d434516-ac01-4a6b-be01-b071a7c1c37f,1,False
20ba025d-4d1c-4965-8e4c-e0ed3208ee1e,1,True
098647b3-a26c-4fe4-baac-c873ba179ea5,1,True
17fb4074-f681-4a9a-9f2d-c13a97443add,1,False
e9391c78-873b-41a5-98b9-a924cf32a0fc,0,True
27420a78-727e-4033-ba4a-74ba469ce54e,0,False
391ad5c4-6cf6-415d-a18d-c609d9b5d4ab,1,True
4ec55c73-0112-450c-9543-ee80052a3447,2,False
af8add57-6782-4221-82d0-e9ffb5bf4b9f,1,True
589953b2-25dd-41ab-9e6f-04f524e2ef71,1,True
207cdce4-4f75-4692-bb1c-88b0661814fe,0,True
692f3e64-5809-44ea-b089-a7f197676a7d,1,False
bd73b7ec-eb81-49aa-86f6-0c2a9102f2f5,3,False
8ff151e1-3522-456d-bec2-40ecff90ed85,2,False
55abd8e9-9146-48e0-98be-8bc9f9338b23,1,True
678c2b21-a2d3-491b-bd6f-d3d0a82e6c7f,0,True
455c775d-fdcd-433b-aa21-a217c8d808ce,2,True
4973e119-aaad-4053-a96f-ecb6c0aa6ac5,3,False
a2e21553-0afe-4c5c-bafc-50e1e5d90637,0,True
7686b8db-7fa5-45fa-9656-e0c7586c617b,1,True
71428c08-a2a6-4b00-ae6b-2ea4b7c992e1,1,True
8206133a-f296-4917-be53-ed5d8641dc83,1,True
6c449c17-8a38-41f4-b41d-cab65837a65d,1,True
128f56e9-e90e-4d0d-93e2-11400c0ff97e,2,False
aa6df9ec-f29e-4891-adbf-e2cf0defa307,2,True
206ca46f-6294-4627-89e8-ce87003c8cb7,2,False
6eab5af0-57d7-4f56-b5c3-3bb9fabe7d31,1,False
4648eb7f-e670-4602-9577-3fb43ef172e4,1,False
b142052c-f2df-408f-97db-e53be5059bdb,2,False
55726219-f3a8-45de-979c-f5e1f593ed33,2,True
f9162ecd-05c8-4785-a1fc-ba55e2f37409,2,False
98083c11-2816-49fb-adbe-19869d76a3e4,1,True
3ef21a48-5043-4e63-9563-aee90256d062,0,True
d44bc5aa-c805-4ff3-9731-b52f56ad951a,3,False
73bdc7c4-bdea-400a-9b38-0a7473054da4,2,False
0ae72249-bab9-4454-98d6-8dab223113c4,0,True
a96c6aab-4a4e-4fdd-97f6-bbe584cd72d9,0,True
3942c1fd-0284-4e09-91d7-bcf5fc3a35bc,1,False
18fda736-a37d-473b-8d0d-8ada7fb85b9a,1,True
39f1d9fa-77a6-4e70-a25d-4956b1e367ab,14,True
6af4d936-8faf-4b7c-bf76-2407bce4c7ca,0,True
e3ffaa36-5f0b-407a-936f-09c806e226e8,2,True
cf8a062e-44d6-4ede-b61a-8ffb3182efa5,0,True
215fc0b7-5307-4fd4-b5e6-23eefb824166,5,False
8aed3cdc-4c7a-4dbd-be78-f7158a786992,1,True
1348ab20-16d2-4994-a81f-536f54e2215b,0,True
85d557bc-9ee5-4bcb-987c-dc5689c171d9,2,False
5a0554ef-7dd7-4846-8b9d-c7fdc0544c41,0,False
cde8de93-0777-4deb-86cf-6e9e85b20a33,1,False
3d2cf213-50e2-454f-a557-18f79c84b6f2,0,True
2bc8319e-e5ac-4038-af68-38e8486e7706,0,True
b58f7f63-4776-4ec4-9f92-e49083d7d91d,0,True
015b4c67-a6c3-4d40-ba38-49246bf5b494,0,True
bb630191-0551-414f-b3d1-6143d8253cf7,1,True
882b8bd9-775b-4f23-bc73-6e2ba10ddd90,0,True
e71d0153-343b-4d23-a1bc-e08a628e5527,1,True
16971424-98ae-49a4-977a-6e5b0347392c,1,True
56a75cbf-803e-446f-a47a-b027f2d95e03,0,True
b0e0fde8-2a36-489c-8dd6-e72d30547874,1,True
d86a2689-a388-4165-bfbb-42f8bd650f03,1,True
b533e1dd-3944-4d05-9310-4fe8834151db,1,True
a6cf00a4-5cf8-4fff-a00c-3b1ae8105a9b,1,True
daaf103e-1faa-4aa6-9fe5-3568ba5d8f7e,0,True
fe0eda9f-5eab-4b05-a4e3-76edefd52340,3,False
966d95db-1096-49de-96c4-cae2b18658a9,1,True
8aa56712-c52c-4b99-9cde-fe2790c2f56b,0,True
fcdc2869-6be8-41c6-9e0b-5c2f59334073,3,True
9a65c612-4d54-4ace-bec3-3d4975de1a34,0,True
53dc2ad9-0362-4247-b909-23aeca2d139a,1,True
99cce84e-e83f-42d5-a32a-03baddc2d268,0,True
dd2f6164-53b6-41c6-ac80-63bb07b59f9a,1,True
ae5553c0-893c-4698-8ea3-2ee21e8e3ffe,0,False
6b17d7e7-39ec-41c0-b056-2ac006fd6d0a,1,True
39bf2b7a-5936-419a-a29e-ea91b4b52873,1,True
8c7ab8a5-0e2e-4694-a0ae-d46ee58dfeac,2,True
eb70007a-c577-4534-b64f-8a8ffeb513cb,8,True
d18b991c-c5c1-4e97-b28c-e963a4ed7850,0,True
b62b77a3-584e-4cd9-957e-e87579768086,0,True
a819b9ab-17ed-429f-b208-c545d9a5a0ee,1,True
14d1b71a-e294-4eb8-ae75-96fbba290b72,1,True
f609f841-df1e-492c-b132-bf78edcd2003,1,True
08560673-458c-4ac4-bc71-846f77473c41,2,False
497c348c-256e-487e-8e04-23f34e0889ac,2,False
355cf4c9-1cca-4e52-9583-2741b8c87f66,1,True
062cfd8f-ef83-466a-b980-30c2fb3a8e93,0,True
4915904f-cd15-4f16-b6d5-2d152115adc3,7,True
f95c1bc2-8377-4a42-aa96-a16947311965,2,False
0080e53d-7ad3-4833-a77a-b027dfac7f43,3,True
502b6be3-1e2e-4ac1-baa5-269491dc4c06,0,True
9d9a9000-62aa-446f-aa60-58307c7ae4f4,2,False
7a694228-dd9b-47b8-b029-a6f2d3cd14e6,1,True
3b63b09c-d376-4da0-9ed9-46fac858c41d,0,True
027126d3-45ee-4410-b1ce-41a2e3252409,3,False
20dd23a5-93f4-48f1-8d66-2afaeccd4db7,1,True
e50c11c3-8784-4c61-88c7-145d042151ea,2,False
f89b9e7c-8403-40cc-86a7-fcb2caf98204,1,True
12d5adfc-521a-4bc7-90d0-d9d0e4b2a548,1,True
e62425a2-2bd6-4d8a-9374-5935550de9e1,1,True
c09ab1dd-d6d8-4c69-bb93-fcadee4b70d8,2,False
3a12b302-dbf7-4005-a003-a2ff5d0469b6,2,False
b322b452-4e34-4351-8a80-0083d55eb3d6,1,True
dba30ccd-954a-48fc-b209-930d0e52a634,1,True
90e2974f-9efa-4a13-861d-77c4e1d8bc8c,1,True
7fb68b8a-794d-46b7-a299-20faffa58fe8,1,True
2dbd1505-96f2-4b48-a7ce-653732dc584c,1,True
388d0731-60bd-4a29-b488-2cfae0ef69bf,0,True
963c448d-0376-43ac-a403-8fa514923ca1,2,True
36930792-a352-4bab-bab0-1321fe0992bf,0,True
cc3544ef-c940-4d9d-a8d5-3cac71d2821a,0,True
96134822-85d8-4bcf-98ab-5b1f8859ca9a,1,True
43a5351d-e6bb-4fd9-9224-faa6c12b3876,0,True
866e54a7-ff24-42bc-af27-d5374673b81b,3,False
d08d4249-2f2a-4331-a1b4-dacb242600c0,1,True
bcacd9d2-886e-4314-8250-8ff548b65208,1,True
3e0f0f48-e3f9-4682-8862-801db7b6db72,1,True
ea789166-32af-456a-9b47-934015d84418,1,True
73c4bf7a-b473-457f-a5a7-3a4234168e53,1,False
143e839f-b053-422e-ad28-f21f90af6dae,2,True
5d468b4a-4e6e-441b-98bb-2e84da8b83c8,3,True
45e9e29c-ecd0-40bf-9115-90a1179b7c5c,0,False
0fde391c-600c-4220-ba16-27ccf1a5487b,1,True
a737a3fa-327e-4f6e-8ff4-ffe4876e7542,1,True
9c076987-12a0-4368-8d91-647fc4329371,0,True
25415e18-01da-404c-be11-e388de6b10a5,0,True
5b882d26-e9ac-4901-b007-aab28c7cbda1,1,True
2e3c7c96-7e2c-418b-8a89-4f6451d734eb,0,True
e6be2534-8bfb-4f78-b8a1-a75e756af917,1,False
0e0e4237-ae91-4ef3-9e7d-72d6c7a229ef,0,True
f1430fec-9079-463c-88f9-933c1f274200,1,True
4e907844-fcb4-44e2-9cd1-7bf289b93439,1,False
7ca69b85-544a-4176-9cfe-3430bae4c1fb,0,True
63f46611-f8b5-4b7b-96e5-7eaa64b624b4,4,False
4ef73e11-2404-4210-8be9-139cb12ba14d,2,False
788bc3d7-54fd-4ff2-b46c-1fd0d3ff3f4d,1,True
8bacce23-b4d2-411c-b4c1-2a689afb2ee8,2,True
6e6bb8ad-82c2-4ab0-9b26-4218fb00242e,1,True
eb5cabde-3111-4158-90db-63383d1f37d0,1,True
0f51b265-8915-4db6-9225-658194ec08cd,1,False
912bee28-1433-44de-a51b-d1a79ee6c18f,0,True
73b33e52-6b2c-41f2-8c86-c718daa501ca,2,True
341828de-2541-440a-9ad1-3ea095246cd1,0,True
08d06180-d030-4e4b-81d0-f489a228756f,0,True
bcc6739b-168e-4beb-b20e-266659867c62,2,True
1d7c47b9-0709-4a5c-b481-0f292d858f7c,1,True
5b018c8e-5ca9-47f2-abd9-d1069ce160b7,5,False
